epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
81,972.788,nan,0.4257,1,nan,0.131593,0.131593,0.131593
82,984.361,nan,0.4257,1,nan,0.13011,0.13011,0.13011
83,996.356,nan,0.4257,1,nan,0.12862,0.12862,0.12862
84,1008.54,nan,0.4257,1,nan,0.127123,0.127123,0.127123
85,1018.74,nan,0.4257,1,nan,0.12562,0.12562,0.12562
86,1031.01,nan,0.4257,1,nan,0.124111,0.124111,0.124111
87,1043.4,nan,0.4257,1,nan,0.122596,0.122596,0.122596
88,1054.04,nan,0.4257,1,nan,0.121076,0.121076,0.121076
89,1066.45,nan,0.4257,1,nan,0.119551,0.119551,0.119551
90,1077.49,nan,0.4257,1,nan,0.118021,0.118021,0.118021
91,1090.26,nan,0.4257,1,nan,0.116487,0.116487,0.116487
92,1101.5,nan,0.4257,1,nan,0.114949,0.114949,0.114949
93,1114.12,nan,0.4257,1,nan,0.113408,0.113408,0.113408
94,1125.23,nan,0.4257,1,nan,0.111864,0.111864,0.111864
95,1137.74,nan,0.4257,1,nan,0.110317,0.110317,0.110317
96,1148.34,nan,0.4257,1,nan,0.108767,0.108767,0.108767
97,1159.69,nan,0.4257,1,nan,0.107216,0.107216,0.107216
98,1171.78,nan,0.4257,1,nan,0.105664,0.105664,0.105664
99,1182.94,nan,0.4257,1,nan,0.10411,0.10411,0.10411
100,1195.64,nan,0.4257,1,nan,0.102555,0.102555,0.102555
101,1208.29,nan,0.4257,1,nan,0.101,0.101,0.101
102,1219.61,nan,0.4257,1,nan,0.099445,0.099445,0.099445
103,1230.53,nan,0.4257,1,nan,0.0978903,0.0978903,0.0978903
104,1242.94,nan,0.4257,1,nan,0.0963365,0.0963365,0.0963365
105,1255.35,nan,0.4257,1,nan,0.0947837,0.0947837,0.0947837
106,1267.33,nan,0.4257,1,nan,0.0932325,0.0932325,0.0932325
